edge,p_value,Gene1,Gene2
ASPM+CKAP2L,0.0195593250372934,ASPM,CKAP2L
PLXDC1+TNS3,0.0195608986912288,PLXDC1,TNS3
CREBBP+FAM120B,0.0195723783656951,CREBBP,FAM120B
CELSR1+FZD6,0.0195739594037362,CELSR1,FZD6
DCLRE1B+FANCM,0.0195871156591344,DCLRE1B,FANCM
MRPS33+MRPS34,0.0196003797217579,MRPS33,MRPS34
DHX37+GNL3,0.0196316045347467,DHX37,GNL3
KCNA2+KCNT1,0.0196452530234933,KCNA2,KCNT1
PTDSS1+PTDSS2,0.0196460757751338,PTDSS1,PTDSS2
DGKK+PLCB4,0.0196510560256869,DGKK,PLCB4
EFNB3+FYN,0.0196551399932495,EFNB3,FYN
RLN3+RXFP3,0.0196754838542495,RLN3,RXFP3
GLUL+LGSN,0.0196792256021511,GLUL,LGSN
RLN3+RXFP2,0.0196859555489309,RLN3,RXFP2
NXF1+NXT2,0.0196870301188289,NXF1,NXT2
SNIP1+TRA2A,0.0196953903828989,SNIP1,TRA2A
CASP8+COL6A6,0.0197192110014143,CASP8,COL6A6
GNAO1+SUCLG2,0.0197433281464152,GNAO1,SUCLG2
COG1+VPS53,0.0197539827423298,COG1,VPS53
GNL3L+TERT,0.0197588375646818,GNL3L,TERT
GRIN1+GRM3,0.0197818616131538,GRIN1,GRM3
TAB1+UBC,0.0198149525029847,TAB1,UBC
KLHDC8A+MCTS1,0.0198271790504933,KLHDC8A,MCTS1
POLR3D+POLR3F,0.0198319950351865,POLR3D,POLR3F
CIB1+CRY2,0.0198342206566543,CIB1,CRY2
KCNA2+KCNH5,0.0198383132271269,KCNA2,KCNH5
ASGR1+CERS2,0.0198473350923606,ASGR1,CERS2
CALML5+CAV3,0.0198607330536123,CALML5,CAV3
GATA1+LMO2,0.0198646801776587,GATA1,LMO2
HDAC7+SIRT3,0.0198768445953363,HDAC7,SIRT3
GADD45GIP1+MRPS18C,0.0198870319247564,GADD45GIP1,MRPS18C
GNAI2+GNAO1,0.0198898380478823,GNAI2,GNAO1
KAT5+PITX2,0.0198957468902833,KAT5,PITX2
CACNG1+HSPA2,0.0199523874396038,CACNG1,HSPA2
CHEK1+ERCC1,0.0199569060296396,CHEK1,ERCC1
NSUN6+RRP8,0.0199578119047978,NSUN6,RRP8
NOD2+TRAF6,0.019964047494669,NOD2,TRAF6
GP9+LYN,0.019978323596494,GP9,LYN
GRIA3+KIF5A,0.0199834192104436,GRIA3,KIF5A
IRAK1+TAB1,0.0199927808846547,IRAK1,TAB1
HSCB+OSBP2,0.0199942134001652,HSCB,OSBP2
MRPL14+SNRPG,0.0199953629917618,MRPL14,SNRPG
PLA2G4D+PNPLA6,0.0200290916264444,PLA2G4D,PNPLA6
CACNA1S+CAV3,0.0200443813978808,CACNA1S,CAV3
LAMA1+UTRN,0.0200676118191385,LAMA1,UTRN
PARD6A+PRKCZ,0.0200689800359563,PARD6A,PRKCZ
HUS1+SMARCAL1,0.0200743151670361,HUS1,SMARCAL1
RUNX2+UCMA,0.0200849238297996,RUNX2,UCMA
ENO3+TAGLN,0.0201055330467801,ENO3,TAGLN
E2F2+HDAC1,0.020116707474607,E2F2,HDAC1
POLH+RFC1,0.0201320752541283,POLH,RFC1
CALM3+GRIN1,0.0201386076275539,CALM3,GRIN1
HDAC7+NR2E1,0.0201461680456169,HDAC7,NR2E1
KCNA2+KCNH3,0.0201570080476715,KCNA2,KCNH3
HNRNPF+RBMX,0.0201638957650859,HNRNPF,RBMX
EZR+MCF2,0.020173175513477,EZR,MCF2
AP2A2+GRIA4,0.0201795316191444,AP2A2,GRIA4
RPL8+RPS15,0.0201894517945174,RPL8,RPS15
SLC34A1+STC2,0.0201915752221574,SLC34A1,STC2
RUNX2+UBB,0.0202057474078075,RUNX2,UBB
A2M+F2,0.020214803031253,A2M,F2
LOXHD1+TMPRSS3,0.0202362830636123,LOXHD1,TMPRSS3
TRPC5+TRPV3,0.0202517741418989,TRPC5,TRPV3
CAMK2A+TRIM24,0.0202566719153631,CAMK2A,TRIM24
TMPRSS6+ZNF384,0.0202569151027332,TMPRSS6,ZNF384
HSPA2+HSPA5,0.0202861183554667,HSPA2,HSPA5
NPTXR+RCN2,0.0202916896964857,NPTXR,RCN2
GPATCH4+PES1,0.0202964725743872,GPATCH4,PES1
RUNX2+SP7,0.0203011463481639,RUNX2,SP7
CWC25+FRG1,0.020343428208584,CWC25,FRG1
F2RL3+GNG12,0.0203442271098693,F2RL3,GNG12
CCNA2+TTK,0.0203446035845989,CCNA2,TTK
FOXO3+XPO1,0.0203523678184911,FOXO3,XPO1
ERBB4+VEGFA,0.0203725940335804,ERBB4,VEGFA
DDB2+RAD23B,0.0203875006625147,DDB2,RAD23B
KIF14+MCM10,0.0204254233934694,KIF14,MCM10
IL2RA+PTK2B,0.0204261146511218,IL2RA,PTK2B
CAV3+DYSF,0.0204408988785896,CAV3,DYSF
CNDP1+HDC,0.0204475849272077,CNDP1,HDC
CAT+CROT,0.0204549019458598,CAT,CROT
HSPA2+ST13,0.0204748456963869,HSPA2,ST13
EEF2+RPS3,0.0205100874262164,EEF2,RPS3
GFPT1+OGT,0.0205130879817049,GFPT1,OGT
ACTB+MYL2,0.020519075971672,ACTB,MYL2
GRIN1+SYN1,0.0205311596739228,GRIN1,SYN1
LHX2+SIX3,0.0205400509848471,LHX2,SIX3
ASF1B+RRM2,0.0205578260076682,ASF1B,RRM2
CD3D+PRKCQ,0.0205583557881522,CD3D,PRKCQ
CDKN1A+CHEK1,0.0205650766203557,CDKN1A,CHEK1
ACOT11+SLCO1A2,0.0205975062938252,ACOT11,SLCO1A2
CTBP1+TLE4,0.0206058338008436,CTBP1,TLE4
FANCA+RFC2,0.0206172894762606,FANCA,RFC2
MAPT+PRKAA1,0.0206262856444579,MAPT,PRKAA1
CAV3+DMD,0.0206302208099951,CAV3,DMD
NOL12+WDR46,0.0206382770215189,NOL12,WDR46
SCN1B+SPTAN1,0.0206651499424165,SCN1B,SPTAN1
EPS15L1+UBB,0.0206670321499413,EPS15L1,UBB
AGXT+DLD,0.0206812112254188,AGXT,DLD
GFAP+NCOR1,0.0206845505396067,GFAP,NCOR1
B4GALT1+KERA,0.0207010814297121,B4GALT1,KERA
HIVEP3+WWP1,0.0207117823399068,HIVEP3,WWP1
MAP2K1+TAB1,0.0207242552472175,MAP2K1,TAB1
EP400+TRRAP,0.0207265204085651,EP400,TRRAP
MCM7+POLD1,0.0207275177738542,MCM7,POLD1
MYH6+TNNC2,0.0207372010661687,MYH6,TNNC2
CTBP1+TLE2,0.0207443146697596,CTBP1,TLE2
CRH+GNRH1,0.0207536515735834,CRH,GNRH1
KCNA10+KCNAB2,0.0207632745625617,KCNA10,KCNAB2
TAB1+YWHAE,0.020764061104419,TAB1,YWHAE
MYBL2+PLK1,0.0207655445018806,MYBL2,PLK1
AGXT+PEPD,0.0207811344697557,AGXT,PEPD
GNA13+GNG4,0.0208053985095482,GNA13,GNG4
COL16A1+COL9A3,0.0208355504960003,COL16A1,COL9A3
DDX5+UPF1,0.0208487069434726,DDX5,UPF1
PHEX+SOST,0.020853440225548,PHEX,SOST
CWC15+GP5,0.0208785581809546,CWC15,GP5
COPS7A+TFPT,0.0208904022608638,COPS7A,TFPT
KEL+RHCE,0.0208912283366507,KEL,RHCE
GFAP+SYN1,0.020893674972608,GFAP,SYN1
ESYT1+SYT14,0.0209039180048938,ESYT1,SYT14
ATRIP+TP53BP1,0.0209059705340504,ATRIP,TP53BP1
CLTC+PIK3C2A,0.0209191401111437,CLTC,PIK3C2A
KIN+METTL22,0.0209268649438749,KIN,METTL22
KCNA2+KCNQ2,0.0209349161490857,KCNA2,KCNQ2
CDCA4+PPP2R2C,0.0209397328687041,CDCA4,PPP2R2C
MED13+THRAP3,0.0209520192572541,MED13,THRAP3
DBF4+MCM4,0.0209637563452156,DBF4,MCM4
DAO+GNPAT,0.0209755555076021,DAO,GNPAT
CDK1+MELK,0.0209764086787879,CDK1,MELK
ACO1+NIT1,0.0210121275584007,ACO1,NIT1
ITGA2B+ZFPM1,0.0210530573635556,ITGA2B,ZFPM1
M6PR+VPS53,0.0210700428357899,M6PR,VPS53
JAK1+STAT5A,0.021091327338975,JAK1,STAT5A
DES+TNNC2,0.0211020611791992,DES,TNNC2
MYH3+MYL6,0.0211121341640544,MYH3,MYL6
TNNC2+TPM2,0.0211181210574828,TNNC2,TPM2
SUPT16H+WDHD1,0.021118606372894,SUPT16H,WDHD1
CALM3+SCN5A,0.0211222667023251,CALM3,SCN5A
FGF13+SHH,0.0211399995962493,FGF13,SHH
ANKDD1A+SAMD10,0.0211407007329875,ANKDD1A,SAMD10
ALB+TJP1,0.0211709013328036,ALB,TJP1
CPSF2+NDC1,0.0212050141497156,CPSF2,NDC1
CETN2+XRCC6,0.0212108028690421,CETN2,XRCC6
ANXA2+CAV3,0.0212683558110271,ANXA2,CAV3
SLX4+XRCC2,0.0212756547596203,SLX4,XRCC2
PMPCA+TIMM17A,0.0212955304821769,PMPCA,TIMM17A
DERA+ENO3,0.021305678388105,DERA,ENO3
HIRIP3+INO80E,0.02131678786228,HIRIP3,INO80E
AURKB+KIF22,0.0213235102724831,AURKB,KIF22
SIAE+TMEM242,0.0213361973056248,SIAE,TMEM242
ACSS3+HIBADH,0.0213383880131522,ACSS3,HIBADH
POLR1A+RRP12,0.0213516009478273,POLR1A,RRP12
ARMC12+SLC26A8,0.0213605329325103,ARMC12,SLC26A8
ERBB4+SHC3,0.0213810945230754,ERBB4,SHC3
MAML1+NOTCH2,0.0213865607518542,MAML1,NOTCH2
RPL13+TMA16,0.0214005163775857,RPL13,TMA16
EPB41L1+NRXN2,0.021428327181684,EPB41L1,NRXN2
ADAMTS14+ADAMTS3,0.0214580637741957,ADAMTS14,ADAMTS3
CHD3+TAF1B,0.0214687078939424,CHD3,TAF1B
CENPA+CENPE,0.0214688702662738,CENPA,CENPE
CAV1+KCNN3,0.0214746088856567,CAV1,KCNN3
CD80+CD8B,0.0214747451221118,CD80,CD8B
MUC21+ST6GALNAC3,0.0214988243559394,MUC21,ST6GALNAC3
FPR1+HTR2C,0.021509204618408,FPR1,HTR2C
MAG+SIGLEC15,0.0215179983684544,MAG,SIGLEC15
PHEX+SLC34A1,0.0215511315705119,PHEX,SLC34A1
AP1S1+AP4M1,0.0215564043978146,AP1S1,AP4M1
PIK3C2A+PLCB1,0.0215620518737215,PIK3C2A,PLCB1
NEIL2+OGG1,0.0215771894907232,NEIL2,OGG1
RCC1+RGPD2,0.0215804768190887,RCC1,RGPD2
ST6GALNAC3+ST8SIA5,0.0215867675288791,ST6GALNAC3,ST8SIA5
CDC20+TEN1-CDK3,0.021610319278051,CDC20,TEN1-CDK3
MUCL1+ST6GALNAC3,0.0216171036737597,MUCL1,ST6GALNAC3
MUC4+ST6GALNAC3,0.0216373127034895,MUC4,ST6GALNAC3
MYLPF+TNNC2,0.0216391920250468,MYLPF,TNNC2
TRH+USP6NL,0.0216624808330873,TRH,USP6NL
CACNA1S+CACNA2D1,0.0216743065399581,CACNA1S,CACNA2D1
SFRP1+WNT1,0.0216804145305939,SFRP1,WNT1
STXBP1+SYN1,0.0216841624444493,STXBP1,SYN1
BEST4+CLCN1,0.0216869276928695,BEST4,CLCN1
GRB2+USP6NL,0.0216917290597573,GRB2,USP6NL
BCORL1+SKP1,0.0217052937960212,BCORL1,SKP1
CACNG8+CAMK2B,0.0217402361280832,CACNG8,CAMK2B
MYL2+TNNC2,0.0217532600072406,MYL2,TNNC2
GTF2H2+POLD1,0.0217554858914163,GTF2H2,POLD1
NXNL2+STRN,0.0217758995643857,NXNL2,STRN
PIGH+PIGP,0.021787396425619,PIGH,PIGP
BRIX1+PDCD11,0.0218038061046933,BRIX1,PDCD11
CETN2+PMPCA,0.0218088434672993,CETN2,PMPCA
SCLT1+SCN10A,0.0218373676843418,SCLT1,SCN10A
HAO1+LONP2,0.0218546737081037,HAO1,LONP2
ERCC2+TAF5,0.0218595957990765,ERCC2,TAF5
CDC16+NEK2,0.0218663954049593,CDC16,NEK2
LSM5+PATL2,0.0218730015460964,LSM5,PATL2
HJURP+RAD54L,0.0219061310092728,HJURP,RAD54L
KCNQ2+STXBP1,0.021948072325426,KCNQ2,STXBP1
UBB+WNK1,0.0219555420785628,UBB,WNK1
DLST+SYNE1,0.0219621763521021,DLST,SYNE1
EEF1A1+EIF2S3,0.0219629227773326,EEF1A1,EIF2S3
SNRPG+ZMAT5,0.0219843098345446,SNRPG,ZMAT5
MAP1B+TULP1,0.0220203514456238,MAP1B,TULP1
LIG3+RFC5,0.0220215942161227,LIG3,RFC5
NPS+RLN3,0.022027419934922,NPS,RLN3
IL11+IL12RB1,0.0220680052112065,IL11,IL12RB1
ASIC3+STOML3,0.0221052248105537,ASIC3,STOML3
GTF2F2+SUPT5H,0.0221059625441229,GTF2F2,SUPT5H
GCGR+GNG2,0.0221094289261713,GCGR,GNG2
RPL28+RPL6,0.0221153353830465,RPL28,RPL6
RPL10A+SERBP1,0.0221183368454457,RPL10A,SERBP1
KIFC1+MYBL2,0.0221297547748224,KIFC1,MYBL2
E2F6+PRPF31,0.0221459681485679,E2F6,PRPF31
SEC31A+STX5,0.0221738093870301,SEC31A,STX5
MYL1+TNNC2,0.0221931789307269,MYL1,TNNC2
ING3+YEATS2,0.0222033705193975,ING3,YEATS2
CCNE1+CCNT1,0.0222256240918109,CCNE1,CCNT1
KCNAB2+KCNS1,0.0222327253863543,KCNAB2,KCNS1
CHRNA3+CHRNB4,0.0222603660640288,CHRNA3,CHRNB4
GRIN1+PRKACG,0.022267412507644,GRIN1,PRKACG
BTC+NRG1,0.0222712025600341,BTC,NRG1
MCM10+SHCBP1,0.0222723446760405,MCM10,SHCBP1
DLL4+MIB2,0.0223140086417473,DLL4,MIB2
SCN1B+SCN5A,0.0223351353530621,SCN1B,SCN5A
ELAVL1+HNRNPL,0.0223394619202958,ELAVL1,HNRNPL
DPYSL3+PLXNA4,0.0223649486004542,DPYSL3,PLXNA4
WNT10A+WNT11,0.0224022940246513,WNT10A,WNT11
POU3F2+SOX11,0.0224537642283902,POU3F2,SOX11
FIGN+KATNB1,0.0224640164698343,FIGN,KATNB1
ENO3+PGM1,0.0224673094780449,ENO3,PGM1
BSN+ERC2,0.0224811153285772,BSN,ERC2
RUNX2+SOST,0.022492934157707,RUNX2,SOST
NDC1+SEH1L,0.0225269408313125,NDC1,SEH1L
C1GALT1C1+NANP,0.022529250177143,C1GALT1C1,NANP
PDIA3+STAT3,0.0225394588861443,PDIA3,STAT3
CD244+PTPRC,0.0225415009598127,CD244,PTPRC
ENO3+LDHA,0.0225499294030925,ENO3,LDHA
FAM126A+TTC7B,0.0225855238728602,FAM126A,TTC7B
C9orf72+MAPT,0.0225914209675707,C9orf72,MAPT
GRIA2+PRKCG,0.0226034558633093,GRIA2,PRKCG
RAD23B+TFPT,0.0226057650809319,RAD23B,TFPT
ATAD5+MCM2,0.0226202656129898,ATAD5,MCM2
MRPL15+RPS27L,0.0226226938254875,MRPL15,RPS27L
HSP90AA1+PIF1,0.0226280314398783,HSP90AA1,PIF1
ITCH+TRAF6,0.0226935376912025,ITCH,TRAF6
MYL12A+MYLK4,0.022703099030668,MYL12A,MYLK4
CPLX2+STXBP5,0.0227217188008969,CPLX2,STXBP5
NEIL1+PNKP,0.0227347377401929,NEIL1,PNKP
PDZD7+USH1G,0.0227484409355086,PDZD7,USH1G
AGO2+DROSHA,0.0227634367886441,AGO2,DROSHA
HEY2+MAML1,0.0227889735031211,HEY2,MAML1
MCM3+NCAPG2,0.0228171584901218,MCM3,NCAPG2
MRPL54+MRPS18C,0.0228211485920838,MRPL54,MRPS18C
KCNA2+SCN2A,0.022821527959156,KCNA2,SCN2A
DCC+NTN1,0.0228238073258472,DCC,NTN1
ABCB11+CYP27A1,0.0228292740316226,ABCB11,CYP27A1
FAM171B+TMEM59L,0.022844197316366,FAM171B,TMEM59L
CACNA1S+PPP2R5D,0.0228458013993282,CACNA1S,PPP2R5D
CASP2+CASP6,0.0228666906572487,CASP2,CASP6
POLD1+TERT,0.0228674960019955,POLD1,TERT
RAD54L+TTK,0.0228964984347642,RAD54L,TTK
DVL1+SENP2,0.0228976060082351,DVL1,SENP2
RPL8+TMA16,0.0229239757630809,RPL8,TMA16
NTN1+SLIT1,0.0229321653345653,NTN1,SLIT1
PFKP+TKTL1,0.0229557713141571,PFKP,TKTL1
MED13+MED23,0.0229627158272384,MED13,MED23
DHX37+WDR43,0.0229641831914021,DHX37,WDR43
TCF12+TWIST2,0.022988388680602,TCF12,TWIST2
KEL+PIP,0.0229909767973729,KEL,PIP
MRPL42+MRPL45,0.0230141505833565,MRPL42,MRPL45
ANO6+BEST4,0.0230390418545727,ANO6,BEST4
TPX2+UBE2T,0.0230511553288167,TPX2,UBE2T
ESR1+SKP2,0.0230581435409513,ESR1,SKP2
PES1+RPL3L,0.0230747789875743,PES1,RPL3L
CMAS+ST8SIA5,0.0230836468276906,CMAS,ST8SIA5
HCN3+HCN4,0.0230848687624263,HCN3,HCN4
ADAMTS2+ADAMTS8,0.0230916351510444,ADAMTS2,ADAMTS8
CRAT+NUDT7,0.0231160290809828,CRAT,NUDT7
HJURP+NDC80,0.0231316593164544,HJURP,NDC80
CCDC90B+ZNF346,0.0231416726348351,CCDC90B,ZNF346
KCNAB2+KCNH2,0.0231618626919735,KCNAB2,KCNH2
DDX6+UPF1,0.023180152003569,DDX6,UPF1
DCC+EZR,0.0231897180362203,DCC,EZR
POLD1+RPA3,0.0232125331141224,POLD1,RPA3
GAD2+LGI1,0.0232734764803829,GAD2,LGI1
ERBB2+WNT1,0.0232740235698105,ERBB2,WNT1
CUL2+GLMN,0.0232742673314523,CUL2,GLMN
CHRNA1+LAMC2,0.0232755748408067,CHRNA1,LAMC2
CHD3+SAP18,0.0232844955889275,CHD3,SAP18
CMPK2+NT5C1A,0.0233244231862142,CMPK2,NT5C1A
STX1B+STXBP1,0.0233293827749442,STX1B,STXBP1
CLCN3+GPM6A,0.0233661975220888,CLCN3,GPM6A
KDM5A+MORF4L2,0.0233709009000978,KDM5A,MORF4L2
POP5+RPP40,0.0233766644063831,POP5,RPP40
RPL7A+UPF1,0.0233911268808654,RPL7A,UPF1
GOLGB1+POLQ,0.0233922198661673,GOLGB1,POLQ
EPS8+USP6NL,0.0233984242181002,EPS8,USP6NL
FTSJ3+RRP12,0.0234045128820528,FTSJ3,RRP12
GRIN1+GRM2,0.0234328778828695,GRIN1,GRM2
CENPA+NUF2,0.0234340473037543,CENPA,NUF2
DNA2+POLE3,0.0234393278863142,DNA2,POLE3
MYL12B+MYLK4,0.0234527690259315,MYL12B,MYLK4
SMC3+TRRAP,0.0234603562778859,SMC3,TRRAP
NUFIP1+RUVBL2,0.0235019688444562,NUFIP1,RUVBL2
KCNB2+KCNQ2,0.0235072126901879,KCNB2,KCNQ2
CHMP4B+MVB12A,0.0235073930522338,CHMP4B,MVB12A
BOLL+DAZAP2,0.0235109105686714,BOLL,DAZAP2
EPC1+PLAC1,0.023550594825268,EPC1,PLAC1
MTM1+PI4KB,0.0235900067659721,MTM1,PI4KB
ASPM+BRCA1,0.023595890596282,ASPM,BRCA1
LCE1B+SPRR2D,0.0236145646746618,LCE1B,SPRR2D
GAR1+WDR43,0.0236202756960841,GAR1,WDR43
HAO2+MPV17,0.0236239725577808,HAO2,MPV17
DHX38+PAPOLA,0.0236458330577424,DHX38,PAPOLA
STX10+VPS53,0.0236486478786216,STX10,VPS53
ENO3+PCK1,0.0236661770884203,ENO3,PCK1
CACNA2D1+SCN3B,0.023681644420435,CACNA2D1,SCN3B
C6+C9,0.0236825894405985,C6,C9
CYLD+NOD2,0.023754822508876,CYLD,NOD2
AP2S1+EPS15L1,0.0237648756893202,AP2S1,EPS15L1
DCTN3+DNAH17,0.0237738933288822,DCTN3,DNAH17
LINGO1+MYT1L,0.0237771879759083,LINGO1,MYT1L
UBA52+WNK1,0.0237805264216644,UBA52,WNK1
DKK2+WNT5B,0.0237894583372273,DKK2,WNT5B
ATOH1+BARHL1,0.0237900777087436,ATOH1,BARHL1
RPL3+RPLP2,0.0237907368250903,RPL3,RPLP2
KPNB1+TPX2,0.0238006920693355,KPNB1,TPX2
DDX52+UTP15,0.0238120206498123,DDX52,UTP15
AK8+RRM2,0.0238194326030163,AK8,RRM2
MYL2+MYLK4,0.0238228726607682,MYL2,MYLK4
CNIH2+GRIA2,0.0238314351007967,CNIH2,GRIA2
CUL1+RBL2,0.0238522900444946,CUL1,RBL2
GRIN1+LRFN1,0.0238791498326207,GRIN1,LRFN1
CYP46A1+SOAT1,0.0239709500140424,CYP46A1,SOAT1
MYH3+TNNC2,0.0239878334643804,MYH3,TNNC2
C1QTNF4+TOR3A,0.0239988209629975,C1QTNF4,TOR3A
EXOSC2+POLR1B,0.0240031813974596,EXOSC2,POLR1B
GOSR1+NAPB,0.0240317553715048,GOSR1,NAPB
GRM5+RGS4,0.02407904378098,GRM5,RGS4
ASPM+GINS2,0.0241076111625527,ASPM,GINS2
CCND1+RBL2,0.0241077947085727,CCND1,RBL2
EPS15L1+UBA52,0.0241687604281189,EPS15L1,UBA52
ANKRD42+OBSCN,0.0241781069650465,ANKRD42,OBSCN
NPRL2+SEC13,0.0241809806415481,NPRL2,SEC13
GRIA4+SHISA9,0.0241985457445976,GRIA4,SHISA9
CCR3+GNB1,0.0242380779990169,CCR3,GNB1
ANPEP+IQGAP1,0.0242581192895201,ANPEP,IQGAP1
HSPA2+NUP37,0.0242705450700814,HSPA2,NUP37
ACTA1+WAS,0.0242808740324443,ACTA1,WAS
AGO1+DDX20,0.0242938703914253,AGO1,DDX20
INCENP+KIF23,0.0243000169255014,INCENP,KIF23
PLEC+RPL3L,0.0243029258490615,PLEC,RPL3L
RPL11+SERBP1,0.0243272486985953,RPL11,SERBP1
DRAXIN+NEO1,0.0243308896600899,DRAXIN,NEO1
DCN+ERBB4,0.024352527250297,DCN,ERBB4
WDR12+WDR55,0.0243718081699871,WDR12,WDR55
ALDOB+ENO3,0.0243797940686434,ALDOB,ENO3
RPL39L+RPL3L,0.0243819558448691,RPL39L,RPL3L
RPS18+SERBP1,0.0243933564132773,RPS18,SERBP1
CACTIN+SNRNP200,0.0244051736099037,CACTIN,SNRNP200
GRIA2+SHANK1,0.0244075842942089,GRIA2,SHANK1
POLR1A+POLR3B,0.024444291043599,POLR1A,POLR3B
ATM+SYN1,0.0244500676589414,ATM,SYN1
POLE2+RRM1,0.0244510054404516,POLE2,RRM1
TAB3+TNF,0.0244530963021021,TAB3,TNF
NRP1+SEMA6B,0.0244548148885162,NRP1,SEMA6B
ENTHD1+EPS15L1,0.0244830715487723,ENTHD1,EPS15L1
RPL19+TMA16,0.0244856325205076,RPL19,TMA16
NCOA6+WDR82,0.0245091060406623,NCOA6,WDR82
CYP19A1+SHBG,0.0245094053288286,CYP19A1,SHBG
CTSL+HLA-DQB2,0.0245239275648212,CTSL,HLA-DQB2
ALOX15+PLA2G6,0.0245294801135615,ALOX15,PLA2G6
MRPL22+MRPS31,0.0245679071469689,MRPL22,MRPS31
MAGOHB+SMG1,0.0245751041701224,MAGOHB,SMG1
CACNB2+CATSPERD,0.0246026333221593,CACNB2,CATSPERD
PSME1+RUNX2,0.0246263551519839,PSME1,RUNX2
ENO3+GAPDH,0.024630281330628,ENO3,GAPDH
AGO1+NOTCH4,0.0246430898458775,AGO1,NOTCH4
ADCY2+CAMK2A,0.0246459685452972,ADCY2,CAMK2A
CCNB1+CCNF,0.0246494701211403,CCNB1,CCNF
RPL9+TMA16,0.0246566233086802,RPL9,TMA16
MED30+MED9,0.0246743421408147,MED30,MED9
EEF1A1+ENO3,0.0247433133114769,EEF1A1,ENO3
TGOLN2+VPS54,0.0247487617510733,TGOLN2,VPS54
CAV3+KCNA4,0.0247517023253276,CAV3,KCNA4
ABCD1+ACSBG1,0.0247765543553713,ABCD1,ACSBG1
CLDN19+TJP1,0.0247905422612685,CLDN19,TJP1
GAD2+RIMS1,0.0248083659363856,GAD2,RIMS1
RPL10A+TMA16,0.0248092877439287,RPL10A,TMA16
ENO3+TKTL1,0.0248205012735175,ENO3,TKTL1
DDX55+MPHOSPH10,0.0248442123848419,DDX55,MPHOSPH10
DNAJC19+GRPEL2,0.0248444118612227,DNAJC19,GRPEL2
ENO3+TPI1,0.0248460611778279,ENO3,TPI1
SLC38A7+ZNF384,0.0248642740343709,SLC38A7,ZNF384
ABLIM1+DCC,0.0248683663445233,ABLIM1,DCC
MUC12+ST6GALNAC3,0.0248763269517392,MUC12,ST6GALNAC3
FOXRED1+NDUFV3,0.0248866277922997,FOXRED1,NDUFV3
GRIA2+HTR3A,0.0249039128481015,GRIA2,HTR3A
ENO3+TKTL2,0.0249162200703626,ENO3,TKTL2
GNA15+PLCB1,0.0249215481748862,GNA15,PLCB1
CALM1+CAMK2B,0.0249352408046591,CALM1,CAMK2B
CCNA1+PPP2CB,0.0249413230497365,CCNA1,PPP2CB
ASCL1+HES5,0.0249452584467594,ASCL1,HES5
CREB3+CREB5,0.0249715203468674,CREB3,CREB5
ADCY9+PDE6A,0.0249842850217347,ADCY9,PDE6A
PPP2R5D+WNT8A,0.024984802701524,PPP2R5D,WNT8A
GNL3+GNL3L,0.0250067392498846,GNL3,GNL3L
KCNA2+KCNH7,0.0250936088391529,KCNA2,KCNH7
PRPF6+SNIP1,0.0250937924231782,PRPF6,SNIP1
GNAI2+MTNR1B,0.0251271371196633,GNAI2,MTNR1B
NUFIP1+ZNHIT6,0.0251489429184321,NUFIP1,ZNHIT6
GATAD2B+ING5,0.0251705747769838,GATAD2B,ING5
ACTN3+TNNC2,0.0252066078784519,ACTN3,TNNC2
NCK1+TNK2,0.0252145555160217,NCK1,TNK2
IBSP+ITGB1,0.0252445137243114,IBSP,ITGB1
RPL12+UPF1,0.0252597081875248,RPL12,UPF1
PAK1IP1+PDCD11,0.0252630525401348,PAK1IP1,PDCD11
RUVBL1+UXT,0.0252653069912257,RUVBL1,UXT
ALDH3B2+MAOA,0.0253031654785606,ALDH3B2,MAOA
IL21+JAK3,0.025305859625014,IL21,JAK3
CACNA1C+ZNF804A,0.0253387816270296,CACNA1C,ZNF804A
HIVEP3+RUNX2,0.0253425433245222,HIVEP3,RUNX2
ACTR3B+ARPC3,0.0253448686420203,ACTR3B,ARPC3
RAB1B+STXBP1,0.0253463643171117,RAB1B,STXBP1
FEZ1+SCOC,0.0253638933683653,FEZ1,SCOC
DDX3X+PYCARD,0.0253795247863461,DDX3X,PYCARD
APOL1+APOM,0.0253891821298683,APOL1,APOM
CYP2B6+CYP2J2,0.0254043665808752,CYP2B6,CYP2J2
ACADS+ACSF3,0.0254062927269643,ACADS,ACSF3
CAPN2+MLC1,0.0254358242167743,CAPN2,MLC1
E2F1+TRIM28,0.0254501064481712,E2F1,TRIM28
ENO3+PGK1,0.0254579730764687,ENO3,PGK1
EIF3E+RPS21,0.0254943222807423,EIF3E,RPS21
GCGR+GNB1,0.0254995639032277,GCGR,GNB1
LDB3+TCAP,0.0255187649869366,LDB3,TCAP
MYBL2+RAD54L,0.0255362365417473,MYBL2,RAD54L
GGACT+LENG1,0.0255466864327707,GGACT,LENG1
MCM6+NCAPG,0.0255625440218094,MCM6,NCAPG
NPRL2+SEH1L,0.0255667042951956,NPRL2,SEH1L
MPI+PFKL,0.0255996386282688,MPI,PFKL
RAB6B+VPS39,0.0256005897891762,RAB6B,VPS39
RPL11+TMA16,0.025625123631285,RPL11,TMA16
POP4+RPP40,0.0256256419381519,POP4,RPP40
SIRT1+TAF1A,0.0256298951051317,SIRT1,TAF1A
RPL12+SERBP1,0.0256777527881837,RPL12,SERBP1
